Nome_entidade,Cidade,Dependencia_adm,Localizacao,Numero_de_alunos,porte_da_escola,numero_de_participantes_no_enem,taxa_de_participacao,indicador_de_permanencia_na_escola,indicador_nivel_socioeconomico,faixa_indicador_de_formacao_docente,indicador_de_formacao_docente,taxa_de_aprovacao,taxa_de_reprovacao,taxa_de_abandono,Linguagem,Redacao,Matematica,Humanas,Natureza
EEB DOM JAIME DE BARROS CAMARA,FLORIANOPOLIS,Estadual,Urbana,124,Mais que 90 alunos,64,"51,61",De 60% a 80%,Alto,Maior que 50%,"72,6","67,4","24,6",8,"516,56","517,5","486,23","556,65","510,22"
EEB ADERBAL RAMOS DA SILVA,FLORIANOPOLIS,Estadual,Urbana,263,Mais que 90 alunos,167,"63,5",De 60% a 80%,Médio Alto,Maior que 50%,"64,8","71,4","18,9","9,7","518,77","494,37","484,19","556,07","487,5"
EEM JACO ANDERLE,FLORIANOPOLIS,Estadual,Urbana,348,Mais que 90 alunos,186,"53,45",De 60% a 80%,Médio Alto,Maior que 50%,"73,4","58,3","36,3","5,4","510,55","458,39","461,7","544,85","471,26"
EEB PROFº ANISIO TEIXEIRA,FLORIANOPOLIS,Estadual,Urbana,31,De 31 a 60 alunos,18,"58,06",80% ou mais,Médio Alto,Maior que 50%,"78,8","44,2","46,7","9,1","524,49",460,"492,64","552,7","472,29"
EEB DR PAULO FONTES,FLORIANOPOLIS,Estadual,Urbana,20,De 1 a 30 alunos,13,65,De 40% a 60%,Médio Alto,Maior que 50%,"91,7","59,3","31,7",9,"480,29","446,15","449,44","512,92","451,38"
IFSC - CAMPUS FLORIANOPOLIS,FLORIANOPOLIS,Federal,Urbana,267,Mais que 90 alunos,141,"52,81",De 60% a 80%,Alto,Maior que 50%,"67,4","88,2","8,3","3,5","579,67","584,68","634,41","615,15","571,97"
COLEGIO DE APLICACAO UFSC,FLORIANOPOLIS,Federal,Urbana,91,Mais que 90 alunos,79,"86,81",80% ou mais,Muito Alto,Maior que 50%,87,"81,6","16,7","1,7","562,94","611,65","560,55","607,5","539,71"
COLEGIO BOM JESUS CORACAO DE JESUS,FLORIANOPOLIS,Privada,Urbana,41,De 31 a 60 alunos,37,"90,24",80% ou mais,Muito Alto,Até 50%,"38,5","96,4",3,"0,6","565,39","618,92","603,62","617,05","572,05"
COLEGIO ADVENTISTA DE FLORIANOPOLIS - CENTRO,FLORIANOPOLIS,Privada,Urbana,33,De 31 a 60 alunos,33,100,De 40% a 60%,Muito Alto,Até 50%,"34,2",94,"4,8","1,2","566,14","584,24","563,13","595,28","544,71"
EDUCANDARIO IMACULADA CONCEICAO,FLORIANOPOLIS,Privada,Urbana,26,De 1 a 30 alunos,25,"96,15",De 60% a 80%,Muito Alto,Maior que 50%,"70,1","90,5","9,5",0,"609,54","689,6","594,93","635,16","578,27"
COLEGIO SANTA CATARINA,FLORIANOPOLIS,Privada,Urbana,28,De 1 a 30 alunos,27,"96,43",80% ou mais,Muito Alto,Maior que 50%,"62,3","81,4","18,6",0,"564,39","564,44","600,9","589,17","551,99"
COLEGIO CATARINENSE,FLORIANOPOLIS,Privada,Urbana,261,Mais que 90 alunos,245,"93,87",80% ou mais,Muito Alto,Maior que 50%,54,"90,5","9,5",0,"583,52","652,82","603,48","621,27","578,78"
ESCOLA DINAMICA,FLORIANOPOLIS,Privada,Urbana,18,De 1 a 30 alunos,17,"94,44",80% ou mais,Muito Alto,Até 50%,"33,3","98,5","1,5",0,"574,99","592,94","572,81","618,97","561,49"
COLEGIO ESTIMOARTE,FLORIANOPOLIS,Privada,Urbana,68,De 61 a 90 alunos,57,"83,82",80% ou mais,Muito Alto,Maior que 50%,"72,5","98,2","1,4","0,4","558,14","554,04","512,94","596,79","546,76"
COLEGIO SALVATORIANO NOSSA SENHORA DE FATIMA,FLORIANOPOLIS,Privada,Urbana,49,De 31 a 60 alunos,44,"89,8",80% ou mais,Muito Alto,Maior que 50%,"53,8",94,6,0,"569,35","588,18","547,82","609,13","530,03"
COLEGIO ANTONIO PEIXOTO,FLORIANOPOLIS,Privada,Urbana,24,De 1 a 30 alunos,19,"79,17",Menos de 20%,Muito Alto,Até 50%,"29,4","92,6","7,4",0,"545,8","511,58","526,71","581,24","513,18"
COLEGIO GERACAO,FLORIANOPOLIS,Privada,Urbana,76,De 61 a 90 alunos,70,"92,11",De 60% a 80%,Muito Alto,Maior que 50%,"70,4","92,3","7,7",0,"569,68","596,86","563,72","602,72","559,27"
COLEGIO ENERGIA,FLORIANOPOLIS,Privada,Urbana,519,Mais que 90 alunos,473,"91,14",De 40% a 60%,Muito Alto,Maior que 50%,"70,3","98,3","1,7",0,"595,42","653,36","660,45","640,22","611,22"
COLEGIO ADVENTISTA DE FLORIANOPOLIS - ESTREITO,FLORIANOPOLIS,Privada,Urbana,55,De 31 a 60 alunos,43,"78,18",De 40% a 60%,Alto,Até 50%,"39,4",94,6,0,"558,3","592,56","548,52","586,27","531,74"
ESCOLA DA ILHA,FLORIANOPOLIS,Privada,Urbana,46,De 31 a 60 alunos,39,"84,78",80% ou mais,Muito Alto,Maior que 50%,"64,5","91,7","8,3",0,"585,77","624,1","616,02","636,94","572,34"
ESCOLA AUTONOMIA,FLORIANOPOLIS,Privada,Urbana,56,De 31 a 60 alunos,45,"80,36",Menos de 20%,Sem informação,Maior que 50%,"71,4","96,3","3,7",0,"615,75","683,11","693,64","663,73","615,35"
COC-COLEGIO OSVALDO CARVALHO,FLORIANOPOLIS,Privada,Urbana,96,Mais que 90 alunos,65,"67,71",De 40% a 60%,Muito Alto,Maior que 50%,"71,1","73,1","4,3","22,6","575,5",660,"593,58","620,46","573,88"
CENTRO DE ENSINO GUROO,FLORIANOPOLIS,Privada,Urbana,46,De 31 a 60 alunos,43,"93,48",De 40% a 60%,Muito Alto,Maior que 50%,"51,5","92,1","7,9",0,"566,42","603,26","573,95","611,33","559,17"
COLEGIO DA LAGOA,FLORIANOPOLIS,Privada,Urbana,37,De 31 a 60 alunos,30,"81,08",De 60% a 80%,Muito Alto,Maior que 50%,78,"83,9","15,3","0,8","577,45","611,33","612,47","618,94","586,85"
EPI ESCOLA DA PRAIA DOS INGLESES,FLORIANOPOLIS,Privada,Urbana,17,De 1 a 30 alunos,12,"70,59",De 40% a 60%,Médio Alto,Maior que 50%,"61,5","88,9","4,8","6,3","523,07",550,"518,42","570,9","529,83"
COLEGIO TENDENCIA,FLORIANOPOLIS,Privada,Urbana,71,De 61 a 90 alunos,53,"74,65",De 40% a 60%,Muito Alto,Maior que 50%,"69,7","97,1","2,9",0,"570,01","613,96","585,71","617,11","567,27"
COLEGIO CRUZ E SOUSA,FLORIANOPOLIS,Privada,Urbana,88,De 61 a 90 alunos,59,"67,05",De 60% a 80%,Muito Alto,Maior que 50%,"56,2","97,6","1,7","0,7","540,24","514,58","511,8","573,89","519,7"
EEB RUI BARBOSA,FORMOSA DO SUL,Estadual,Urbana,35,De 31 a 60 alunos,24,"68,57",De 60% a 80%,Médio Alto,Até 50%,"42,7","78,4",16,"5,6","485,29",445,"455,09","521,23","472,22"
EEB LUIZ TRAMONTIN,FORQUILHINHA,Estadual,Urbana,108,Mais que 90 alunos,71,"65,74",80% ou mais,Alto,Maior que 50%,"65,5","90,2","5,1","4,7","477,96","434,93","458,97","518,62","474,37"
EEB GONCALVES DIAS,FRAIBURGO,Estadual,Urbana,233,Mais que 90 alunos,119,"51,07",80% ou mais,Médio Alto,Maior que 50%,71,"75,8","13,8","10,4","497,3","458,44","458,24","529,52","464,03"
EEB SAO JOSE,FRAIBURGO,Estadual,Urbana,74,De 61 a 90 alunos,58,"78,38",80% ou mais,Alto,Maior que 50%,"62,1","84,6","11,1","4,3","498,78","521,03","462,01","538,34","476,35"
CENTRO EDUCACIONAL FRAIBURGO CEFRAI,FRAIBURGO,Privada,Urbana,28,De 1 a 30 alunos,26,"92,86",80% ou mais,Muito Alto,Maior que 50%,"81,8","97,6","2,4",0,"540,85","616,15","588,09","592,2","561,1"
COLEGIO CARLOS DRUMMOND DE ANDRADE,FRAIBURGO,Privada,Urbana,25,De 1 a 30 alunos,24,96,De 60% a 80%,Muito Alto,Até 50%,"34,4","97,4","2,6",0,"550,35","592,5","578,64","590,43","557,98"
EEB URBANO SALLES,FREI ROGERIO,Estadual,Urbana,33,De 31 a 60 alunos,21,"63,64",80% ou mais,Médio,Até 50%,"46,3","95,9","2,5","1,6","431,08","377,14","422,03","479,98","473,4"
ESCOLA DE EDUCACAO BASICA VERONICA SENEM,GALVAO,Estadual,Urbana,31,De 31 a 60 alunos,19,"61,29",80% ou mais,Médio,Até 50%,"42,9","86,3","10,1","3,6","472,66","365,53","439,85","507,71","456,52"
EEB MARIA CORREA SAAD,GAROPABA,Estadual,Urbana,38,De 31 a 60 alunos,29,"76,32",De 60% a 80%,Médio Alto,Maior que 50%,"57,5",75,"20,8","4,2","518,51","505,52","451,95","536,5","466,07"
ESCOLA DE EDUCACAO BASICA PROFESSOR JOSE RODRIGUES LOPES,GAROPABA,Estadual,Urbana,137,Mais que 90 alunos,95,"69,34",80% ou mais,Alto,Maior que 50%,"62,1","74,3","15,9","9,8","511,27","526,74","482,27","548,26","495,4"
IFSC - CAMPUS GASPAR,GASPAR,Federal,Urbana,40,De 31 a 60 alunos,25,"62,5",80% ou mais,Sem informação,Maior que 50%,"85,7","82,9","15,3","1,8","561,6",596,"553,59","608,43","557,19"
COLEGIO MADRE FRANCISCA LAMPEL,GASPAR,Privada,Urbana,50,De 31 a 60 alunos,39,78,80% ou mais,Muito Alto,Maior que 50%,70,"95,6","4,4",0,"545,31","540,51","562,56","590,48","535,86"
COLEGIO UNIVERSITARIO,GASPAR,Privada,Urbana,20,De 1 a 30 alunos,11,55,80% ou mais,Muito Alto,Maior que 50%,"71,8","95,5","4,5",0,"535,62","607,27","562,08","587,78","505,09"
EEB PROF MARIA AMALIA CARDOSO,GOVERNADOR CELSO RAMOS,Estadual,Urbana,34,De 31 a 60 alunos,20,"58,82",De 60% a 80%,Médio Alto,Maior que 50%,"57,9","75,6","13,5","10,9","502,96",465,"474,26","531,53","464,5"
EEB DR MIGUEL DE PATTA,GRAO PARA,Estadual,Urbana,49,De 31 a 60 alunos,25,"51,02",80% ou mais,Médio Alto,Até 50%,47,"89,3","10,7",0,"501,2",544,"478,72","539,05","492,28"
EEB HERCILIO BEZ,GRAVATAL,Estadual,Urbana,28,De 1 a 30 alunos,15,"53,57",De 60% a 80%,Médio Alto,Até 50%,"30,6","72,3","14,2","13,5","487,69","434,67","466,25","543,09","476,84"
EEM ANTONIO KNABBEN,GRAVATAL,Estadual,Urbana,70,De 61 a 90 alunos,35,50,De 20% a 40%,Médio Alto,Até 50%,"43,6","79,1",13,"7,9","505,84","525,71","461,78","533,53","484,37"
EEB SARA CASTELHANO KLEINKAUF,GUARACIABA,Estadual,Urbana,127,Mais que 90 alunos,86,"67,72",80% ou mais,Médio Alto,Maior que 50%,"73,7","93,5","2,8","3,7","504,08","518,84","500,26","550,22","488,37"
EEB PREFEITO LAURO ZIMMERMANN,GUARAMIRIM,Estadual,Urbana,120,Mais que 90 alunos,67,"55,83",De 60% a 80%,Alto,Maior que 50%,82,"73,3","15,2","11,5","499,93","446,57","472,54","543,27","490,68"
EEB PROFª ELZA MANCELOS DE MOURA,GUARUJA DO SUL,Estadual,Urbana,71,De 61 a 90 alunos,54,"76,06",80% ou mais,Médio Alto,Maior que 50%,"80,5","88,4","5,8","5,8","497,19","550,37","496,85","544,05","493,48"
EEB PROFESSOR EUGENIO MARCHETTI,HERVAL D OESTE,Estadual,Urbana,216,Mais que 90 alunos,137,"63,43",De 60% a 80%,Médio Alto,Maior que 50%,"78,3",85,7,8,"507,61","521,48","474,75","542,94","479,92"
EEB HERIBERTO HULSE,IBIAM,Estadual,Urbana,26,De 1 a 30 alunos,13,50,80% ou mais,Médio Alto,Até 50%,"22,2","87,4","9,7","2,9","487,72","490,77","500,21","560,38","466,1"
EEB IRMAO JOAQUIM,IBICARE,Estadual,Urbana,26,De 1 a 30 alunos,18,"69,23",80% ou mais,Médio Alto,Até 50%,"41,7","86,1","13,9",0,"499,62","477,78","443,55","537,17","469,78"
ESCOLA DE EDUCACAO BASICA GERTRUD AICHINGER,IBIRAMA,Estadual,Urbana,107,Mais que 90 alunos,74,"69,16",De 60% a 80%,Médio Alto,Maior que 50%,"59,4","74,1","14,6","11,3","502,82","475,68","460,22","538,22","475,81"
INSTITUTO FEDERAL CATARINENSE - CAMPUS IBIRAMA,IBIRAMA,Federal,Urbana,36,De 31 a 60 alunos,31,"86,11",80% ou mais,Alto,Maior que 50%,"62,7","96,6","2,3","1,1","535,34","530,32","522,22","585,13","504,83"
COLEGIO HAMONIA,IBIRAMA,Privada,Urbana,21,De 1 a 30 alunos,16,"76,19",80% ou mais,Muito Alto,Maior que 50%,60,100,0,0,"590,63",670,"594,53","622,03","568,99"
EEB ANTONIO COLONETTI,ICARA,Estadual,Urbana,48,De 31 a 60 alunos,30,"62,5",De 60% a 80%,Médio Alto,Até 50%,"45,2",69,"23,9","7,1","461,34","417,33","453,87","507,24","480,15"
EEB PROF MARIA DA GLORIA SILVA,ICARA,Estadual,Urbana,56,De 31 a 60 alunos,32,"57,14",De 60% a 80%,Médio Alto,Maior que 50%,"73,9","86,9","13,1",0,"471,38","471,25","443,7","502,99","452,12"
EEB ANTONIO G SOBRINHO,ICARA,Estadual,Urbana,126,Mais que 90 alunos,63,50,De 60% a 80%,Médio Alto,Maior que 50%,61,"79,3","10,9","9,8","479,43","416,83","442,92","524,8","464,46"
EEB PROF SALETE SCOTTI DOS SANTOS,ICARA,Estadual,Urbana,225,Mais que 90 alunos,139,"61,78",80% ou mais,Médio Alto,Maior que 50%,"77,2","78,6","14,8","6,6","493,75","476,69","451,11","531,28","470,79"
EEB QUINTINO FOLHIARINI DAJORI,ICARA,Estadual,Urbana,20,De 1 a 30 alunos,10,50,De 60% a 80%,Alto,Até 50%,"48,6",75,16,9,"496,43",468,"455,34","530,17","431,88"
EEB MARCOS KONDER,ILHOTA,Estadual,Urbana,124,Mais que 90 alunos,69,"55,65",80% ou mais,Alto,Até 50%,"39,5","71,3","16,8","11,9","495,17","461,74","442,98","537,88","483,1"
EEB VALERIO GOMES,ILHOTA,Estadual,Urbana,28,De 1 a 30 alunos,15,"53,57",De 60% a 80%,Médio Alto,Até 50%,"29,8","73,3","11,9","14,8","507,93","425,33","433,19","537,59","453,2"
EEB PROFº LUIZ FELIX BARRETO,IMARUI,Estadual,Rural,16,De 1 a 30 alunos,13,"81,25",80% ou mais,Médio,Até 50%,"41,7","77,4","14,5","8,1","492,68","461,54","421,15","523,6","439,1"
EEB PROFª EULINA HELEODORO BARRETO,IMARUI,Estadual,Rural,30,De 1 a 30 alunos,20,"66,67",80% ou mais,Médio Alto,Maior que 50%,"58,3","95,2","4,8",0,"500,52",492,"462,66","531,66","482,23"
EEB PREF PEDRO BITTENCOURT,IMARUI,Estadual,Urbana,62,De 61 a 90 alunos,41,"66,13",80% ou mais,Médio Alto,Maior que 50%,"61,5","81,4","10,5","8,1","488,83","440,49","424,68","517,79",460
EEB JOAO GUIMARAES CABRAL,IMBITUBA,Estadual,Urbana,64,De 61 a 90 alunos,42,"65,63",80% ou mais,Alto,Até 50%,"47,5",65,"29,5","5,5","504,24","449,52","462,75","528,67","476,86"
EEM ENG ANNES GUALBERTO,IMBITUBA,Estadual,Urbana,130,Mais que 90 alunos,80,"61,54",80% ou mais,Médio Alto,Maior que 50%,"64,9","71,1","23,1","5,8","512,65","509,25","474,66","554,87","483,84"
EEB ENG ALVARO CATAO,IMBITUBA,Estadual,Urbana,42,De 31 a 60 alunos,24,"57,14",80% ou mais,Médio Alto,Maior que 50%,"64,2","72,6",14,"13,4","515,15",490,"499,99","558,18","485,44"
EEB PROFª GRACINDA AUGUSTA MACHADO,IMBITUBA,Estadual,Urbana,62,De 61 a 90 alunos,32,"51,61",80% ou mais,Médio Alto,Maior que 50%,"76,4","62,1","28,9",9,"511,2","488,13","465,24","543,63","483,51"
EEB VISCONDE DO RIO BRANCO,IMBITUBA,Estadual,Urbana,63,De 61 a 90 alunos,34,"53,97",80% ou mais,Médio Alto,Até 50%,"47,2","72,9","18,3","8,8","507,85","488,82","495,73","544,08","484,31"
COOPERATIVA EDUC DE IMBITUBA,IMBITUBA,Privada,Urbana,21,De 1 a 30 alunos,16,"76,19",Menos de 20%,Alto,Maior que 50%,60,"93,4","6,6",0,"575,63",600,"579,51","600,51","565,49"
ESCOLA DE EDUCACAO BASICA FREDERICO HARDT,INDAIAL,Estadual,Urbana,250,Mais que 90 alunos,162,"64,8",80% ou mais,Alto,Maior que 50%,54,"71,5","15,1","13,4","508,42","490,92","483,24","538,43","476,32"
EEB RAULINO HORN,INDAIAL,Estadual,Urbana,172,Mais que 90 alunos,110,"63,95",De 60% a 80%,Alto,Maior que 50%,"57,2","81,4","16,4","2,2","508,9","505,64","483,9","542,55","480,95"
COLEGIO ADVENTISTA DE INDAIAL,INDAIAL,Privada,Urbana,24,De 1 a 30 alunos,19,"79,17",80% ou mais,Muito Alto,Maior que 50%,55,"93,1","5,6","1,3","556,8","644,21","583,26","594,83","546,81"
COLEGIO METROPOLITANO,INDAIAL,Privada,Urbana,17,De 1 a 30 alunos,14,"82,35",De 60% a 80%,Muito Alto,Até 50%,"44,1","98,4","1,6",0,"591,01","672,86","612,63","614,67","554,13"
EEB FREI EVARISTO,IOMERE,Estadual,Urbana,28,De 1 a 30 alunos,18,"64,29",80% ou mais,Alto,Até 50%,"36,7","84,5","11,9","3,6","494,57","504,44","455,93","510,67","484,84"
EEB CARLOS FRIES,IPIRA,Estadual,Urbana,61,De 61 a 90 alunos,55,"90,16",80% ou mais,Médio,Até 50%,"43,1","88,5","7,7","3,8","493,51","487,27","463,73","536,13","461,33"
EEB SAO LOURENCO,IPORA DO OESTE,Estadual,Rural,26,De 1 a 30 alunos,24,"92,31",80% ou mais,Médio Alto,Maior que 50%,"56,3",100,0,0,"447,68","399,17","485,53","526,2","482,28"
EEB PADRE VENDELINO SEIDEL,IPORA DO OESTE,Estadual,Urbana,89,De 61 a 90 alunos,67,"75,28",80% ou mais,Médio Alto,Maior que 50%,"73,3","90,9","6,3","2,8","517,76","549,25","513,21","560,2","505,38"
CASA FAMILIAR RURAL ESPERANCA,IPORA DO OESTE,Estadual,Urbana,22,De 1 a 30 alunos,13,"59,09",80% ou mais,Sem informação,Até 50%,"18,6","93,8","6,2",0,"469,22","358,46","455,71","524,6","486,35"
EEB PE ANTONIO VIEIRA,IPUACU,Estadual,Urbana,54,De 31 a 60 alunos,32,"59,26",80% ou mais,Médio Alto,Maior que 50%,"72,4","87,3","9,5","3,2","476,06",415,"445,77","512,47","467,28"
EEB BENJAMIM CARVALHO DE OLIVEIRA,IPUMIRIM,Estadual,Urbana,67,De 61 a 90 alunos,50,"74,63",80% ou mais,Médio Alto,Maior que 50%,"67,2","89,7","9,9","0,4","484,71",446,"450,84","527,42","474,26"
EEB PROF MANUEL DE FREITAS TRANCOSO,IRACEMINHA,Estadual,Urbana,56,De 31 a 60 alunos,40,"71,43",80% ou mais,Médio Alto,Maior que 50%,"52,6","90,5","7,5",2,"502,84",527,"489,52","546,21","496,34"
EEB DOM FELICIO CESAR DA CUNHA VASCONCELOS,IRANI,Estadual,Urbana,92,Mais que 90 alunos,65,"70,65",80% ou mais,Médio Alto,Maior que 50%,"52,7","81,5","12,5",6,"499,81","464,31","493,18","540,3","481,42"
EEB PROFº CELSO RILLA,IRATI,Estadual,Urbana,25,De 1 a 30 alunos,19,76,80% ou mais,Médio Alto,Até 50%,"38,1","66,7","24,6","8,7","470,66","381,05","488,69","505,92","466,19"
EEB GEN LIBERATO BITTENCOURT,ITA,Estadual,Urbana,28,De 1 a 30 alunos,21,75,80% ou mais,Médio Alto,Maior que 50%,"60,4","77,8","15,9","6,3","515,79","564,76","472,44","571,63","478,78"
EMEB VALENTIN BERNARDI,ITA,Municipal,Urbana,26,De 1 a 30 alunos,25,"96,15",80% ou mais,Alto,Maior que 50%,"58,8","94,8","5,2",0,"541,53","590,4","571,31","572,86","510,87"
EEB PAULO CRISTIANO HEYSE,ITAIOPOLIS,Estadual,Rural,21,De 1 a 30 alunos,11,"52,38",80% ou mais,Médio,Maior que 50%,"58,3","92,9","7,1",0,"506,05","434,55","456,04","552,07","487,62"
EEB VIRGILIO VARZEA,ITAIOPOLIS,Estadual,Urbana,150,Mais que 90 alunos,76,"50,67",80% ou mais,Médio Alto,Maior que 50%,80,"69,4",21,"9,6","490,94","427,11","461,03","528,88","471,06"
EEM PROFº HENRIQUE DA SILVA FONTES,ITAJAI,Estadual,Urbana,216,Mais que 90 alunos,119,"55,09",De 60% a 80%,Médio Alto,Até 50%,"42,3",77,"8,6","14,4","505,57","486,55","464,27","538,58","474,62"
EEB PROF HENRIQUE MIDON,ITAJAI,Estadual,Urbana,62,De 61 a 90 alunos,36,"58,06",80% ou mais,Alto,Até 50%,"45,5","80,3",16,"3,7","508,12","502,78","445,73","546,74","481,32"
EEF FRANCISCO DE PAULA SEARA,ITAJAI,Estadual,Urbana,47,De 31 a 60 alunos,36,"76,6",De 40% a 60%,Alto,Maior que 50%,"59,7","74,3",21,"4,7","495,36","463,89","451,66","523,72","458,58"
EEB PAULO BAUER,ITAJAI,Estadual,Urbana,51,De 31 a 60 alunos,31,"60,78",De 60% a 80%,Alto,Maior que 50%,"64,8","83,6","13,1","3,3","491,75","459,35","446,93","519,9","465,95"
EEB ELIZABETH KONDER REIS,ITAJAI,Estadual,Urbana,97,Mais que 90 alunos,62,"63,92",De 60% a 80%,Alto,Até 50%,"39,4","94,6","2,5","2,9","507,55","477,42","467,36","556,93","476,46"
COLEGIO ADVENTISTA DE ITAJAI,ITAJAI,Privada,Urbana,42,De 31 a 60 alunos,28,"66,67",De 60% a 80%,Muito Alto,Maior que 50%,"52,8",92,8,0,"555,49","562,14","517,92","602,95","545,57"
COLEGIO CENECISTA PEDRO ANTONIO FAYAL,ITAJAI,Privada,Urbana,165,Mais que 90 alunos,84,"50,91",80% ou mais,Alto,Maior que 50%,"65,8","96,9","2,8","0,3","524,07",585,"511,53","567,23","513,3"
COLEGIO DE APLICACAO DA UNIVALI,ITAJAI,Privada,Urbana,61,De 61 a 90 alunos,50,"81,97",De 60% a 80%,Muito Alto,Até 50%,"43,9","98,5","1,5",0,"559,51","618,8","557,68","590,84","536,71"
COLEGIO SALESIANO ITAJAI,ITAJAI,Privada,Urbana,110,Mais que 90 alunos,93,"84,55",80% ou mais,Muito Alto,Maior que 50%,"68,5","95,8","4,2",0,"575,44","654,41","636,53","622,5","566,82"
ACBNL COLEGIO SAO JOSE,ITAJAI,Privada,Urbana,91,Mais que 90 alunos,71,"78,02",80% ou mais,Muito Alto,Até 50%,43,"98,5","1,5",0,"548,55","580,56","552,42","589,18","522,84"
COLEGIO UNIFICADO,ITAJAI,Privada,Urbana,64,De 61 a 90 alunos,51,"79,69",De 60% a 80%,Muito Alto,Maior que 50%,"60,3","92,2","7,8",0,"542,23","591,76","563,55","582,28","548,63"
SENAI SC ITAJAI,ITAJAI,Privada,Urbana,74,De 61 a 90 alunos,40,"54,05",De 60% a 80%,Muito Alto,Até 50%,"25,9","82,6","17,4",0,"527,2","555,5","495,55","561,83","495,53"
COLEGIO VERDES MARES,ITAJAI,Privada,Urbana,78,De 61 a 90 alunos,60,"76,92",De 20% a 40%,Muito Alto,Maior que 50%,"54,7","98,5",0,"1,5","566,78",622,"595,32","604,85","572,32"
EEB ANITA GARIBALDI,ITAPEMA,Estadual,Urbana,202,Mais que 90 alunos,110,"54,46",De 60% a 80%,Alto,Maior que 50%,"50,9","68,4","21,5","10,1","500,66",492,"454,23","538,25","481,5"
EEB PREF OLEGARIO BERNARDES,ITAPEMA,Estadual,Urbana,238,Mais que 90 alunos,149,"62,61",De 60% a 80%,Médio Alto,Maior que 50%,"57,8","67,8","20,8","11,4","495,86","521,07","465,4","538,43","479,13"
COLEGIO ATLANTICO,ITAPEMA,Privada,Urbana,27,De 1 a 30 alunos,22,"81,48",80% ou mais,Muito Alto,Até 50%,"28,2","97,6","2,4",0,"567,44","590,91","550,04","586,06","559,67"
COLEGIO UNIFICADO,ITAPEMA,Privada,Urbana,38,De 31 a 60 alunos,26,"68,42",De 60% a 80%,Muito Alto,Até 50%,"24,6","93,7","6,3",0,"553,48","595,38","566,82","599,69","581,67"
EEB HUMBERTO MACHADO,ITAPIRANGA,Estadual,Rural,29,De 1 a 30 alunos,22,"75,86",80% ou mais,Médio Alto,Até 50%,"41,7","98,6","1,4",0,"479,82","460,91","468,87","540,25","478,3"
EEB SANTO ANTONIO,ITAPIRANGA,Estadual,Rural,28,De 1 a 30 alunos,26,"92,86",80% ou mais,Médio Alto,Maior que 50%,"66,1","97,1","2,9",0,"487,47","419,23","476,76","515,42","473,77"
EEB SAO JOSE,ITAPIRANGA,Estadual,Rural,36,De 31 a 60 alunos,35,"97,22",80% ou mais,Médio Alto,Maior que 50%,"56,9","80,7","19,3",0,"487,59","469,71","526,22","539,77","505,76"
EEB SAO VICENTE,ITAPIRANGA,Estadual,Urbana,110,Mais que 90 alunos,93,"84,55",80% ou mais,Alto,Maior que 50%,61,"90,3",7,"2,7","515,68","529,68","508,78","558,8","498,76"
COLEGIO SAGRADA FAMILIA,ITAPIRANGA,Privada,Urbana,19,De 1 a 30 alunos,19,100,80% ou mais,Alto,Maior que 50%,"76,7","93,1","6,9",0,"566,39","718,95","638,76","608,77","603,25"
EEB NEREU RAMOS,ITAPOA,Estadual,Urbana,186,Mais que 90 alunos,101,"54,3",De 60% a 80%,Médio Alto,Até 50%,46,"75,5","16,5",8,"510,44","482,38","469,64","539,28","495,51"
EEB PRESIDENTE TANCREDO NEVES,ITUPORANGA,Estadual,Urbana,24,De 1 a 30 alunos,14,"58,33",80% ou mais,Médio Alto,Maior que 50%,"51,3","85,6","14,4",0,"495,88","424,29","516,95","547,51","474,02"
EEB ROBERTO MORITZ,ITUPORANGA,Estadual,Urbana,142,Mais que 90 alunos,81,"57,04",80% ou mais,Médio Alto,Maior que 50%,"73,9","76,5","20,1","3,4","510,31","492,1","481,92","551,04","489,25"
EEB ALEIXO DELLAGIUSTINA,ITUPORANGA,Estadual,Urbana,23,De 1 a 30 alunos,12,"52,17",De 60% a 80%,Médio Alto,Maior que 50%,"51,2","68,7","17,6","13,7","492,06",485,"447,4","531,98","465,69"
EEB VER PAULO FRANCA,ITUPORANGA,Estadual,Urbana,30,De 1 a 30 alunos,21,70,80% ou mais,Médio Alto,Até 50%,"49,4","66,4",26,"7,6","484,12","428,57","485,75","504,44","474,82"
COLEGIO GALILEU,ITUPORANGA,Privada,Urbana,13,De 1 a 30 alunos,12,"92,31",80% ou mais,Muito Alto,Maior que 50%,"61,1",100,0,0,"577,04","606,67","605,33","606,63","535,86"
ESCOLA DE EDUCACAO BASICA VICTOR FELIPPE RAUEN,JABORA,Estadual,Urbana,44,De 31 a 60 alunos,34,"77,27",80% ou mais,Médio Alto,Até 50%,"41,7","79,3","14,9","5,8","482,96","477,65","491,15","533,8","473,93"
EEB HOLANDO MARCELLINO GONCALVES,JARAGUA DO SUL,Estadual,Urbana,109,Mais que 90 alunos,73,"66,97",De 60% a 80%,Alto,Maior que 50%,"72,4","79,1","17,9",3,"517,7","548,49","505,1","554,15","493,22"
EEB PROFª VALDETE INES PIAZERA ZINDARS,JARAGUA DO SUL,Estadual,Urbana,87,De 61 a 90 alunos,50,"57,47",De 60% a 80%,Alto,Maior que 50%,"70,5","94,7","5,3",0,"528,43","553,02","491,58","565,9","490,64"
