Nome_entidade,Cidade,Dependencia_adm,Localizacao,Numero_de_alunos,porte_da_escola,numero_de_participantes_no_enem,taxa_de_participacao,indicador_de_permanencia_na_escola,indicador_nivel_socioeconomico,faixa_indicador_de_formacao_docente,indicador_de_formacao_docente,taxa_de_aprovacao,taxa_de_reprovacao,taxa_de_abandono,Linguagem,Redacao,Matematica,Humanas,Natureza
CEDUP VIDAL RAMOS,CANOINHAS,Estadual,Rural,42,De 31 a 60 alunos,28,"66,67",80% ou mais,Médio Alto,Maior que 50%,"62,5",97,3,0,"470,91","417,14","482,73","528,18","490,61"
EEB JULIA BALEOLI ZANIOLO,CANOINHAS,Estadual,Urbana,97,Mais que 90 alunos,51,"52,58",De 60% a 80%,Médio Alto,Maior que 50%,"54,8","79,9","12,6","7,5","464,5","449,02","431,98","501,29","468,86"
EEB ALMIRANTE BARROSO,CANOINHAS,Estadual,Urbana,279,Mais que 90 alunos,171,"61,29",80% ou mais,Médio Alto,Maior que 50%,"71,6","90,2","7,2","2,6","517,12","518,01","491,93","554,25","494,29"
EEB TEMPO FELIZ,CANOINHAS,Privada,Urbana,11,De 1 a 30 alunos,10,"90,91",De 40% a 60%,Alto,Até 50%,"44,7","97,6","2,4",0,"545,65",518,"567,26","595,23","525,97"
UNIVERSIDADE DO CONTESTADO CAMPUS DE CANOINHAS,CANOINHAS,Privada,Urbana,20,De 1 a 30 alunos,19,95,80% ou mais,Muito Alto,Maior que 50%,"79,2",100,0,0,"540,66","526,84","545,66","585,32","528,36"
EEB EMILIANO RAMOS,CAPAO ALTO,Estadual,Urbana,28,De 1 a 30 alunos,22,"78,57",80% ou mais,Médio,Até 50%,50,71,"23,4","5,6","489,55","434,55","420,59","526,08","461,45"
EEB SAO CRISTOVAO,CAPINZAL,Estadual,Urbana,62,De 61 a 90 alunos,36,"58,06",80% ou mais,Médio Alto,Maior que 50%,"55,8","82,6","9,4",8,"481,4","468,33","437,76","511,67","482,87"
EEB MATER DOLORUM,CAPINZAL,Estadual,Urbana,174,Mais que 90 alunos,106,"60,92",De 60% a 80%,Médio Alto,Até 50%,"49,2","81,5","8,6","9,9","517,83","524,91","498,2","556,87","492,03"
COLEGIO CARLOS DRUMMOND DE ANDRADE,CAPINZAL,Privada,Urbana,26,De 1 a 30 alunos,21,"80,77",De 60% a 80%,Alto,Maior que 50%,"51,4",100,0,0,"581,52","634,29","625,57","619,7","578,75"
EEB IRMA WIENFRIDA,CATANDUVAS,Estadual,Urbana,72,De 61 a 90 alunos,38,"52,78",80% ou mais,Médio Alto,Até 50%,49,"76,9","16,3","6,8","525,83","495,26","496,06","566,65","480,79"
EEB CANDIDO RAMOS,CAXAMBU DO SUL,Estadual,Urbana,51,De 31 a 60 alunos,35,"68,63",80% ou mais,Médio,Maior que 50%,"60,2","85,6","8,8","5,6","481,76","502,86","434,83","521,43","467,12"
EEB PROFESSORA OTILIA ULYSSEA UNGARETTI,CERRO NEGRO,Estadual,Urbana,42,De 31 a 60 alunos,24,"57,14",80% ou mais,Médio,Maior que 50%,"65,5","81,5","12,7","5,8","483,55","453,33","425,95","515,84","467,5"
EEB OTILIA MULLER,CHAPADAO DO LAGEADO,Estadual,Urbana,42,De 31 a 60 alunos,27,"64,29",80% ou mais,Médio Alto,Até 50%,"32,5","88,7","8,1","3,2","478,42","436,3","459,3","534,44","476,2"
EEB MARCOLINA RODRIGUES DA SILVA,CHAPECO,Estadual,Rural,33,De 31 a 60 alunos,17,"51,52",80% ou mais,Médio,Maior que 50%,"63,9","55,5","44,5",0,"493,58","416,47","446,58","523,46","478,06"
EEB SAAD ANTONIO SARQUIS,CHAPECO,Estadual,Urbana,67,De 61 a 90 alunos,38,"56,72",80% ou mais,Médio Alto,Maior que 50%,"77,1","82,1",6,"11,9","501,13","488,95","464,27","545,73","461,75"
EEB BOM PASTOR,CHAPECO,Estadual,Urbana,244,Mais que 90 alunos,203,"83,2",De 60% a 80%,Alto,Maior que 50%,"71,9","80,7","18,2","1,1","535,04","551,58","525,43","576,57","511,23"
EEB PROF LOURDES ANGELA SARTURI LAGO,CHAPECO,Estadual,Urbana,79,De 61 a 90 alunos,51,"64,56",80% ou mais,Alto,Maior que 50%,"64,7","78,5","14,7","6,8","517,91","502,75","463,1","556,36","475,29"
EEB PROF ZELIA SCHARF,CHAPECO,Estadual,Urbana,130,Mais que 90 alunos,93,"71,54",80% ou mais,Alto,Até 50%,47,"79,5","13,7","6,8","509,38","491,61","466,26","548,45","477,06"
EEB PROFª IRENE STONOGA,CHAPECO,Estadual,Urbana,61,De 61 a 90 alunos,36,"59,02",80% ou mais,Médio Alto,Maior que 50%,59,"74,8","9,4","15,8","498,04","511,67","473,68","542,18","473,96"
EEB SAO FRANCISCO,CHAPECO,Estadual,Urbana,40,De 31 a 60 alunos,22,55,80% ou mais,Médio Alto,Até 50%,"43,3","73,3","13,3","13,4","485,65",420,"408,25","521,8","457,35"
EEB TANCREDO DE ALMEIDA NEVES,CHAPECO,Estadual,Urbana,144,Mais que 90 alunos,79,"54,86",De 60% a 80%,Médio Alto,Maior que 50%,"52,9","70,6","9,4",20,"513,11","508,35","470,76","554,94","493,32"
EEB CORONEL ERNESTO BERTASO,CHAPECO,Estadual,Urbana,84,De 61 a 90 alunos,58,"69,05",80% ou mais,Alto,Maior que 50%,"55,6","66,9","18,6","14,5","532,21","538,28","507,97","571,94","491,57"
EEB PROF VALESCA CARMEN RESK PARIZOTTO,CHAPECO,Estadual,Urbana,60,De 31 a 60 alunos,41,"68,33",De 60% a 80%,Médio Alto,Maior que 50%,"59,8","76,3","16,9","6,8","488,86","465,37","442,44","527,93","464,03"
EEB PROF LUIZA SANTIN,CHAPECO,Estadual,Urbana,65,De 61 a 90 alunos,43,"66,15",80% ou mais,Alto,Maior que 50%,"53,4","74,2","21,2","4,6","497,58","473,49","438,9",530,464
EEB MARECHAL BORMANN,CHAPECO,Estadual,Urbana,162,Mais que 90 alunos,120,"74,07",De 60% a 80%,Alto,Maior que 50%,"65,1","81,8","14,2",4,"519,91","524,33","498,06","565,66","494,72"
EEB PEDRO MACIEL,CHAPECO,Estadual,Urbana,95,Mais que 90 alunos,57,60,De 60% a 80%,Médio Alto,Maior que 50%,"57,3","73,5","15,7","10,8","507,19","468,42","475,7","549,14",479
EEB DRUZIANA SARTORI,CHAPECO,Estadual,Urbana,95,Mais que 90 alunos,56,"58,95",De 60% a 80%,Médio Alto,Maior que 50%,"59,7","72,8","17,3","9,9","487,06","463,21","444,53","532,33","462,79"
